carga termica,evaporador_inf,evaporador_sup,condensador inferior,condensador superior,compressor inferior,compressor superior,T descarga_inf,T descarga_sup,T sucção_inf,T sucção_sup,410 P alta_inf,410 P alta_sup,410 P baixa_inf,410 P baixa_sup,22_P_alta_inf,22_P_alta_sup,P baixa_inf,P baixa_sup
9,0.30,0.50,0.40,0.60,4.00,6.00,80,95,5,14,0,0,120,160,0,0,45,75
12,0.30,0.50,0.40,0.60,4.00,7.00,81,95,6,14,0,0,120,160,0,0,45,76
18,0.30,0.50,0.40,0.60,5.00,8.00,82,95,7,14,0,0,120,160,0,0,45,77
24,0.30,0.50,0.40,0.60,6.00,9.00,83,95,8,14,0,0,120,160,0,0,45,78
30,0.30,0.60,0.40,0.60,7.00,10.00,84,95,9,14,0,0,120,160,0,0,45,79
36 380,0.30,0.60,0.40,0.80,7.00,9.00,85,95,10,14,319,360,120,160,230,260,45,80
36 220,0.30,0.60,0.50,0.80,8.00,13.00,85,95,10,14,0,0,120,160,0,0,45,81
48 220,0.30,0.60,0.50,0.80,8.00,15.00,86,95,11,14,0,0,120,160,0,0,45,82
60 220,0.30,0.60,0.50,0.80,8.00,18.00,87,95,12,14,0,0,120,160,0,0,45,83
48 380,0.30,0.60,0.40,0.80,7.00,9.00,88,95,13,14,322,360,120,160,230,260,45,84
60 380,0.30,0.60,0.40,0.80,7.00,13.00,89,95,14,14,323,360,120,160,230,260,45,85